id,topic,condition,rep,n_words,lgn,lgn_top5,j_novelty,j_feasibility,j_effectiveness,j_overall,nov_judge0,nov_judge1
Bias__unguided__1,Bias,unguided,1,237,0.1606616973876953,0.17023217678070068,6.0,7.5,5.0,5.5,4.0,8.0
Bias__unguided__2,Bias,unguided,2,226,0.14429831504821777,0.163923442363739,5.5,7.5,5.0,5.0,4.0,7.0
Bias__unguided__3,Bias,unguided,3,211,0.14708685874938965,0.1646972894668579,6.0,8.0,5.0,5.5,4.0,8.0
Bias__unguided__4,Bias,unguided,4,232,0.16623616218566895,0.1783008575439453,6.0,6.5,5.0,5.5,4.0,8.0
Coding__deduction__0,Coding,deduction,0,210,0.16852813959121704,0.20233029127120972,6.0,7.0,5.0,5.5,4.0,8.0
Coding__deduction__1,Coding,deduction,1,214,0.18062520027160645,0.20871275663375854,5.0,6.5,3.5,4.5,3.0,7.0
Coding__deduction__2,Coding,deduction,2,249,0.232136070728302,0.2772676944732666,7.0,7.5,5.5,6.0,6.0,8.0
Coding__deduction__3,Coding,deduction,3,215,0.18991661071777344,0.21631091833114624,6.0,7.0,4.5,5.5,4.0,8.0
Coding__deduction__4,Coding,deduction,4,237,0.23363614082336426,0.24913305044174194,3.0,8.0,4.0,4.0,3.0,
Coding__induction__0,Coding,induction,0,222,0.1792205572128296,0.20208042860031128,5.5,8.0,6.0,5.5,4.0,7.0
Coding__induction__1,Coding,induction,1,221,0.19129598140716553,0.2173914909362793,5.0,8.5,5.5,5.5,3.0,7.0
Coding__induction__2,Coding,induction,2,219,0.16336345672607422,0.21098357439041138,4.0,8.0,5.0,5.0,4.0,
Coding__induction__3,Coding,induction,3,228,0.22114849090576172,0.23626619577407837,5.0,8.0,5.5,5.5,3.0,7.0
Coding__induction__4,Coding,induction,4,215,0.15289020538330078,0.19700241088867188,5.5,8.0,6.0,6.0,4.0,7.0
Coding__literature_comparison__0,Coding,literature_comparison,0,233,0.18052661418914795,0.21491575241088867,5.5,8.0,6.0,6.0,4.0,7.0
Coding__literature_comparison__1,Coding,literature_comparison,1,227,0.207985520362854,0.23217028379440308,6.0,6.0,5.5,5.5,4.0,8.0
Coding__literature_comparison__2,Coding,literature_comparison,2,219,0.2438286542892456,0.2785634994506836,4.0,7.0,5.0,4.0,4.0,
Coding__literature_comparison__3,Coding,literature_comparison,3,248,0.2503455877304077,0.29722440242767334,5.5,7.5,6.0,6.0,3.0,8.0
Coding__literature_comparison__4,Coding,literature_comparison,4,244,0.16380012035369873,0.20655804872512817,5.5,7.5,6.0,6.0,3.0,8.0
Coding__outcome_imagination__0,Coding,outcome_imagination,0,196,0.23474395275115967,0.2696110010147095,6.0,7.5,5.0,5.5,4.0,8.0
Coding__outcome_imagination__1,Coding,outcome_imagination,1,253,0.2380307912826538,0.2793642282485962,5.0,8.0,5.5,5.5,3.0,7.0
Coding__outcome_imagination__2,Coding,outcome_imagination,2,195,0.17524617910385132,0.19669264554977417,5.5,7.5,6.0,6.0,3.0,8.0
Coding__outcome_imagination__3,Coding,outcome_imagination,3,242,0.16621267795562744,0.20944201946258545,5.5,8.0,6.0,6.0,4.0,7.0
Coding__outcome_imagination__4,Coding,outcome_imagination,4,230,0.23340833187103271,0.2624143362045288,5.5,9.0,5.5,5.5,3.0,8.0
Coding__proposal_writing__0,Coding,proposal_writing,0,216,0.2783505916595459,0.2869763970375061,5.0,8.0,5.5,5.5,3.0,7.0
Coding__proposal_writing__1,Coding,proposal_writing,1,240,0.15714669227600098,0.20457905530929565,5.5,8.0,4.5,5.0,4.0,7.0
Coding__proposal_writing__2,Coding,proposal_writing,2,214,0.16079020500183105,0.1918315887451172,5.0,8.5,5.5,5.5,3.0,7.0
Coding__proposal_writing__3,Coding,proposal_writing,3,203,0.13296902179718018,0.1786004900932312,5.0,8.5,5.5,5.5,3.0,7.0
Coding__proposal_writing__4,Coding,proposal_writing,4,219,0.14956146478652954,0.1696857213973999,6.0,7.0,6.5,6.0,4.0,8.0
Coding__small_experiment__0,Coding,small_experiment,0,207,0.29245394468307495,0.3159661293029785,5.0,8.0,5.5,5.5,3.0,7.0
Coding__small_experiment__1,Coding,small_experiment,1,214,0.21419042348861694,0.2748318910598755,4.5,8.5,5.5,5.0,2.0,7.0
Coding__small_experiment__2,Coding,small_experiment,2,194,0.15450429916381836,0.19179534912109375,5.5,8.0,5.5,5.5,4.0,7.0
Coding__small_experiment__3,Coding,small_experiment,3,196,0.21051084995269775,0.24185669422149658,5.0,8.0,5.5,5.5,3.0,7.0
Coding__small_experiment__4,Coding,small_experiment,4,204,0.15745776891708374,0.20624059438705444,5.5,8.5,4.5,5.0,4.0,7.0
Coding__unguided__0,Coding,unguided,0,218,0.20187628269195557,0.21757429838180542,5.5,7.5,6.0,6.0,4.0,7.0
Coding__unguided__1,Coding,unguided,1,196,0.17262887954711914,0.19551116228103638,5.5,7.0,5.5,5.5,3.0,8.0
Coding__unguided__2,Coding,unguided,2,239,0.2405339479446411,0.24632376432418823,5.0,7.5,5.5,5.5,3.0,7.0
Coding__unguided__3,Coding,unguided,3,241,0.2505859136581421,0.2571554183959961,5.0,8.0,5.5,5.5,3.0,7.0
Coding__unguided__4,Coding,unguided,4,215,0.27036166191101074,0.286456823348999,5.0,7.5,5.0,5.0,3.0,7.0
Factuality__deduction__0,Factuality,deduction,0,211,0.26377642154693604,0.2731214761734009,6.0,7.0,4.5,5.5,4.0,8.0
Factuality__deduction__1,Factuality,deduction,1,250,0.20236074924468994,0.24144476652145386,5.0,7.5,5.5,5.5,3.0,7.0
Factuality__deduction__2,Factuality,deduction,2,231,0.19607114791870117,0.21386873722076416,6.0,7.5,5.0,5.5,4.0,8.0
Factuality__deduction__3,Factuality,deduction,3,219,0.16968917846679688,0.21952426433563232,5.5,7.0,5.5,5.5,3.0,8.0
Factuality__deduction__4,Factuality,deduction,4,221,0.2551227807998657,0.28333520889282227,5.5,6.5,5.5,5.5,4.0,7.0
Factuality__induction__0,Factuality,induction,0,214,0.22344648838043213,0.23834162950515747,5.0,8.0,5.5,5.5,3.0,7.0
Factuality__induction__1,Factuality,induction,1,227,0.21573013067245483,0.24206650257110596,5.5,5.5,5.5,5.5,3.0,8.0
Factuality__induction__2,Factuality,induction,2,196,0.1473330855369568,0.16665804386138916,5.0,8.0,5.0,5.0,3.0,7.0
Factuality__induction__3,Factuality,induction,3,206,0.2903699278831482,0.29642075300216675,5.5,8.0,5.0,5.5,4.0,7.0
Factuality__induction__4,Factuality,induction,4,200,0.2587273120880127,0.2796964645385742,5.0,8.0,5.5,5.5,3.0,7.0
Factuality__literature_comparison__0,Factuality,literature_comparison,0,229,0.1925952434539795,0.2198147177696228,6.0,7.0,5.0,5.5,4.0,8.0
Factuality__literature_comparison__1,Factuality,literature_comparison,1,242,0.19901978969573975,0.2204885482788086,6.0,7.0,4.5,5.5,4.0,8.0
Factuality__literature_comparison__2,Factuality,literature_comparison,2,218,0.18700873851776123,0.20360815525054932,6.0,7.5,5.0,5.5,4.0,8.0
Factuality__literature_comparison__3,Factuality,literature_comparison,3,237,0.17447060346603394,0.1876104474067688,5.5,8.0,5.0,5.5,4.0,7.0
Factuality__literature_comparison__4,Factuality,literature_comparison,4,243,0.1960446834564209,0.20462071895599365,5.5,6.5,5.0,5.5,4.0,7.0
Factuality__outcome_imagination__0,Factuality,outcome_imagination,0,190,0.19756007194519043,0.2265855073928833,5.0,6.5,6.0,5.5,3.0,7.0
Factuality__outcome_imagination__1,Factuality,outcome_imagination,1,207,0.18537861108779907,0.21583020687103271,5.5,7.0,6.0,6.0,3.0,8.0
Factuality__outcome_imagination__2,Factuality,outcome_imagination,2,214,0.16278278827667236,0.19817209243774414,5.5,4.0,4.5,5.0,3.0,8.0
Factuality__outcome_imagination__3,Factuality,outcome_imagination,3,182,0.20405471324920654,0.2244914174079895,5.0,8.0,5.5,5.5,3.0,7.0
Factuality__outcome_imagination__4,Factuality,outcome_imagination,4,215,0.1949981451034546,0.2226225733757019,6.0,4.5,5.0,5.0,4.0,8.0
Factuality__proposal_writing__0,Factuality,proposal_writing,0,191,0.17420637607574463,0.1832330822944641,5.0,8.0,5.5,5.5,3.0,7.0
Factuality__proposal_writing__1,Factuality,proposal_writing,1,224,0.20957911014556885,0.22304189205169678,5.5,8.5,5.5,5.5,3.0,8.0
Factuality__proposal_writing__2,Factuality,proposal_writing,2,224,0.20554077625274658,0.22013843059539795,5.0,7.5,5.5,5.5,3.0,7.0
Factuality__proposal_writing__3,Factuality,proposal_writing,3,195,0.1951962113380432,0.22868835926055908,5.0,7.5,5.5,5.5,3.0,7.0
Factuality__proposal_writing__4,Factuality,proposal_writing,4,217,0.14044535160064697,0.17660391330718994,5.5,7.0,5.5,5.5,3.0,8.0
Factuality__small_experiment__0,Factuality,small_experiment,0,200,0.18268859386444092,0.19388878345489502,5.5,8.5,5.5,5.5,3.0,8.0
Factuality__small_experiment__1,Factuality,small_experiment,1,181,0.21864748001098633,0.2500825524330139,6.0,7.5,4.5,5.5,4.0,8.0
Factuality__small_experiment__2,Factuality,small_experiment,2,199,0.25041109323501587,0.26721417903900146,5.0,8.0,5.5,5.5,3.0,7.0
Factuality__small_experiment__3,Factuality,small_experiment,3,190,0.20507216453552246,0.23878425359725952,5.0,8.5,5.0,5.0,3.0,7.0
Factuality__small_experiment__4,Factuality,small_experiment,4,189,0.2073596715927124,0.22594529390335083,5.5,7.0,5.5,5.5,3.0,8.0
Factuality__unguided__0,Factuality,unguided,0,232,0.20736652612686157,0.21770036220550537,5.5,7.5,4.5,5.0,4.0,7.0
Factuality__unguided__1,Factuality,unguided,1,221,0.20534026622772217,0.2230246663093567,6.0,7.0,6.0,6.0,4.0,8.0
Factuality__unguided__2,Factuality,unguided,2,214,0.2193591594696045,0.22986304759979248,6.0,7.5,5.0,5.5,4.0,8.0
Factuality__unguided__3,Factuality,unguided,3,223,0.19217121601104736,0.1972530484199524,5.5,7.0,6.0,6.0,3.0,8.0
Factuality__unguided__4,Factuality,unguided,4,216,0.22995632886886597,0.2577599287033081,6.0,4.5,6.0,5.5,4.0,8.0
Math__deduction__0,Math,deduction,0,225,0.19925665855407715,0.22644031047821045,6.0,7.5,4.5,5.5,4.0,8.0
Math__deduction__1,Math,deduction,1,216,0.18901574611663818,0.19881659746170044,6.0,7.0,5.0,5.5,4.0,8.0
Math__deduction__2,Math,deduction,2,245,0.22588598728179932,0.2414865493774414,6.0,7.5,5.0,5.5,4.0,8.0
Math__deduction__3,Math,deduction,3,210,0.17407119274139404,0.19795864820480347,6.0,7.5,5.5,5.5,4.0,8.0
Math__deduction__4,Math,deduction,4,220,0.20685309171676636,0.24479424953460693,6.0,7.5,5.0,5.5,4.0,8.0
Math__induction__0,Math,induction,0,230,0.18262803554534912,0.21289843320846558,5.0,8.5,5.5,5.5,3.0,7.0
Math__induction__1,Math,induction,1,188,0.14599335193634033,0.16509950160980225,5.0,8.5,5.5,5.5,3.0,7.0
Math__induction__2,Math,induction,2,208,0.16313576698303223,0.1938808560371399,6.0,7.5,5.0,5.5,4.0,8.0
Math__induction__3,Math,induction,3,194,0.1646895408630371,0.1774578094482422,6.0,7.0,5.0,5.5,4.0,8.0
Math__induction__4,Math,induction,4,214,0.21282947063446045,0.24911439418792725,6.0,7.5,5.0,5.5,4.0,8.0
Math__literature_comparison__0,Math,literature_comparison,0,236,0.23043763637542725,0.25816595554351807,7.0,5.5,5.5,5.5,6.0,8.0
Math__literature_comparison__1,Math,literature_comparison,1,227,0.18240761756896973,0.24868369102478027,6.0,6.5,5.5,5.5,4.0,8.0
Math__literature_comparison__2,Math,literature_comparison,2,222,0.19258731603622437,0.2592584490776062,6.0,7.0,5.0,5.5,4.0,8.0
Math__literature_comparison__3,Math,literature_comparison,3,224,0.2742137908935547,0.28506261110305786,6.0,7.5,5.0,5.5,4.0,8.0
Math__literature_comparison__4,Math,literature_comparison,4,237,0.17304140329360962,0.19494307041168213,6.0,5.0,5.5,5.5,4.0,8.0
Math__outcome_imagination__0,Math,outcome_imagination,0,204,0.17384910583496094,0.19836121797561646,6.0,7.5,5.0,5.5,4.0,8.0
Math__outcome_imagination__1,Math,outcome_imagination,1,204,0.18188047409057617,0.18536585569381714,6.0,7.5,5.0,5.5,4.0,8.0
Math__outcome_imagination__2,Math,outcome_imagination,2,225,0.25465965270996094,0.27076083421707153,6.0,5.0,6.0,6.0,4.0,8.0
Math__outcome_imagination__3,Math,outcome_imagination,3,217,0.21720540523529053,0.23159551620483398,6.0,6.0,5.5,5.5,4.0,8.0
Math__outcome_imagination__4,Math,outcome_imagination,4,214,0.1707966923713684,0.18778610229492188,6.0,7.0,5.0,5.5,4.0,8.0
Math__proposal_writing__0,Math,proposal_writing,0,210,0.20630842447280884,0.23391413688659668,5.5,5.5,5.5,5.5,3.0,8.0
Math__proposal_writing__1,Math,proposal_writing,1,209,0.14949893951416016,0.1732746958732605,5.0,8.0,5.5,5.5,3.0,7.0
Math__proposal_writing__2,Math,proposal_writing,2,211,0.14590108394622803,0.1682974100112915,5.0,7.5,5.5,5.5,3.0,7.0
Math__proposal_writing__3,Math,proposal_writing,3,228,0.1640661358833313,0.1743038296699524,5.0,8.5,5.0,5.0,3.0,7.0
Math__proposal_writing__4,Math,proposal_writing,4,248,0.14290320873260498,0.15543949604034424,5.0,8.0,5.5,5.5,3.0,7.0
Math__small_experiment__0,Math,small_experiment,0,223,0.1942152976989746,0.22810137271881104,4.5,8.5,5.5,5.0,3.0,6.0
Math__small_experiment__1,Math,small_experiment,1,182,0.19716519117355347,0.2072848677635193,5.5,8.0,6.0,5.5,4.0,7.0
Math__small_experiment__2,Math,small_experiment,2,184,0.20578134059906006,0.24197405576705933,5.0,7.5,5.5,5.5,3.0,7.0
Math__small_experiment__3,Math,small_experiment,3,203,0.19868534803390503,0.2504304051399231,5.5,8.0,5.0,5.0,4.0,7.0
Math__small_experiment__4,Math,small_experiment,4,193,0.15061122179031372,0.1907898187637329,5.0,8.5,5.5,5.5,3.0,7.0
Math__unguided__0,Math,unguided,0,230,0.184900164604187,0.22158730030059814,5.0,8.5,5.5,5.5,3.0,7.0
Math__unguided__1,Math,unguided,1,212,0.15668702125549316,0.18731248378753662,5.0,8.5,5.5,5.5,3.0,7.0
Math__unguided__2,Math,unguided,2,227,0.2117631435394287,0.22749561071395874,5.0,8.0,5.5,5.5,3.0,7.0
Math__unguided__3,Math,unguided,3,186,0.15367698669433594,0.16475486755371094,5.0,8.0,5.5,5.5,3.0,7.0
Math__unguided__4,Math,unguided,4,227,0.256664514541626,0.2935035228729248,5.5,6.5,5.0,5.5,4.0,7.0
Multilingual__deduction__0,Multilingual,deduction,0,220,0.20283198356628418,0.2505347728729248,6.0,4.5,5.5,5.5,4.0,8.0
Multilingual__deduction__1,Multilingual,deduction,1,232,0.1997530460357666,0.22295093536376953,6.0,7.0,5.5,5.5,4.0,8.0
Multilingual__deduction__2,Multilingual,deduction,2,216,0.1629631519317627,0.18410855531692505,5.5,8.0,5.5,5.5,4.0,7.0
Multilingual__deduction__3,Multilingual,deduction,3,221,0.17727404832839966,0.19848191738128662,6.0,7.5,5.0,5.5,4.0,8.0
Multilingual__deduction__4,Multilingual,deduction,4,236,0.203110933303833,0.22477418184280396,6.0,5.5,5.0,5.5,4.0,8.0
Multilingual__induction__0,Multilingual,induction,0,250,0.13482093811035156,0.19972771406173706,6.0,7.5,5.0,5.5,4.0,8.0
Multilingual__induction__1,Multilingual,induction,1,203,0.15556085109710693,0.1823439598083496,5.0,8.0,5.5,5.5,3.0,7.0
Multilingual__induction__2,Multilingual,induction,2,216,0.16767001152038574,0.1976994276046753,6.0,8.5,6.0,5.5,4.0,8.0
Multilingual__induction__3,Multilingual,induction,3,221,0.17266583442687988,0.19314992427825928,5.5,7.5,5.5,5.5,3.0,8.0
Multilingual__induction__4,Multilingual,induction,4,243,0.169491708278656,0.1965358853340149,5.0,8.0,5.5,5.5,3.0,7.0
Multilingual__literature_comparison__0,Multilingual,literature_comparison,0,243,0.15973764657974243,0.1966313123703003,6.0,6.0,5.5,5.5,4.0,8.0
Multilingual__literature_comparison__1,Multilingual,literature_comparison,1,235,0.1762467622756958,0.2369070053100586,7.0,7.0,5.5,6.0,6.0,8.0
Multilingual__literature_comparison__2,Multilingual,literature_comparison,2,239,0.21409547328948975,0.23213785886764526,4.0,7.0,3.0,4.0,4.0,
Multilingual__literature_comparison__3,Multilingual,literature_comparison,3,239,0.18959969282150269,0.20474278926849365,5.5,7.0,5.5,5.5,3.0,8.0
Multilingual__literature_comparison__4,Multilingual,literature_comparison,4,235,0.20558607578277588,0.22888028621673584,6.0,7.0,5.0,5.5,4.0,8.0
Multilingual__outcome_imagination__0,Multilingual,outcome_imagination,0,215,0.177803635597229,0.20924293994903564,5.0,7.5,5.0,5.0,3.0,7.0
Multilingual__outcome_imagination__1,Multilingual,outcome_imagination,1,203,0.16933810710906982,0.2024601697921753,6.0,5.5,5.0,5.5,4.0,8.0
Multilingual__outcome_imagination__2,Multilingual,outcome_imagination,2,217,0.20075464248657227,0.2329082489013672,5.5,5.5,5.5,5.5,3.0,8.0
Multilingual__outcome_imagination__3,Multilingual,outcome_imagination,3,196,0.2236558198928833,0.23269987106323242,5.5,7.5,5.5,5.5,3.0,8.0
Multilingual__outcome_imagination__4,Multilingual,outcome_imagination,4,203,0.15018481016159058,0.1785721778869629,5.5,6.5,5.5,5.5,3.0,8.0
Multilingual__proposal_writing__0,Multilingual,proposal_writing,0,211,0.19492989778518677,0.21914410591125488,6.0,7.0,6.0,5.5,4.0,8.0
Multilingual__proposal_writing__1,Multilingual,proposal_writing,1,210,0.19320464134216309,0.21316373348236084,5.0,7.5,5.0,5.0,3.0,7.0
Multilingual__proposal_writing__2,Multilingual,proposal_writing,2,225,0.16355478763580322,0.2011520266532898,6.0,6.0,5.0,5.5,4.0,8.0
Multilingual__proposal_writing__3,Multilingual,proposal_writing,3,225,0.17824429273605347,0.1905263066291809,5.0,8.0,5.0,5.0,3.0,7.0
Multilingual__proposal_writing__4,Multilingual,proposal_writing,4,215,0.19055354595184326,0.20422399044036865,5.5,8.0,5.5,5.5,4.0,7.0
Multilingual__small_experiment__0,Multilingual,small_experiment,0,177,0.16689062118530273,0.23132604360580444,5.5,8.0,4.5,5.0,4.0,7.0
Multilingual__small_experiment__1,Multilingual,small_experiment,1,197,0.18532878160476685,0.22763872146606445,6.0,6.0,6.0,5.5,4.0,8.0
Multilingual__small_experiment__2,Multilingual,small_experiment,2,215,0.19350898265838623,0.21771347522735596,5.0,8.0,5.0,5.0,3.0,7.0
Multilingual__small_experiment__3,Multilingual,small_experiment,3,196,0.23316776752471924,0.24101793766021729,5.0,8.0,5.0,5.0,3.0,7.0
Multilingual__small_experiment__4,Multilingual,small_experiment,4,211,0.19795286655426025,0.21290695667266846,5.5,8.0,4.5,5.0,4.0,7.0
Multilingual__unguided__0,Multilingual,unguided,0,232,0.19724297523498535,0.2247917652130127,5.5,5.5,5.0,5.5,4.0,7.0
Multilingual__unguided__1,Multilingual,unguided,1,204,0.1896917223930359,0.23748230934143066,6.0,7.0,5.5,5.5,4.0,8.0
Multilingual__unguided__2,Multilingual,unguided,2,207,0.18882215023040771,0.19932317733764648,5.5,7.5,6.0,6.0,4.0,7.0
Multilingual__unguided__3,Multilingual,unguided,3,217,0.1842949390411377,0.20168793201446533,5.5,8.0,6.0,6.0,4.0,7.0
Multilingual__unguided__4,Multilingual,unguided,4,219,0.17685359716415405,0.21531414985656738,6.0,7.0,4.5,5.5,4.0,8.0
Safety__deduction__0,Safety,deduction,0,231,0.18197739124298096,0.20267260074615479,6.0,6.0,5.5,5.5,4.0,8.0
Safety__deduction__1,Safety,deduction,1,213,0.161859393119812,0.2142343521118164,5.5,7.0,4.0,4.5,3.0,8.0
Safety__deduction__2,Safety,deduction,2,246,0.15415072441101074,0.16131001710891724,6.0,4.5,5.0,5.0,4.0,8.0
Safety__deduction__3,Safety,deduction,3,250,0.21125400066375732,0.21972739696502686,6.0,7.5,4.5,5.5,4.0,8.0
Safety__deduction__4,Safety,deduction,4,222,0.1454639434814453,0.17007982730865479,6.0,4.5,5.0,5.0,4.0,8.0
Safety__induction__0,Safety,induction,0,225,0.1374606490135193,0.14210641384124756,5.0,6.5,4.5,5.0,3.0,7.0
Safety__induction__1,Safety,induction,1,218,0.17149072885513306,0.18075180053710938,6.0,7.5,5.0,5.5,4.0,8.0
Safety__induction__2,Safety,induction,2,205,0.17228305339813232,0.18227022886276245,6.0,6.5,5.0,5.0,4.0,8.0
Safety__induction__3,Safety,induction,3,230,0.1583542823791504,0.16609680652618408,5.0,8.0,5.0,5.5,3.0,7.0
Safety__induction__4,Safety,induction,4,205,0.1669374704360962,0.1745830774307251,6.0,7.0,5.0,5.0,4.0,8.0
Safety__literature_comparison__0,Safety,literature_comparison,0,200,0.1830512285232544,0.1944948434829712,6.0,7.0,5.0,5.0,4.0,8.0
Safety__literature_comparison__1,Safety,literature_comparison,1,210,0.18718266487121582,0.21344703435897827,5.5,7.5,4.5,5.0,3.0,8.0
Safety__literature_comparison__2,Safety,literature_comparison,2,226,0.18599390983581543,0.2024417519569397,6.0,4.5,5.0,5.0,4.0,8.0
Safety__literature_comparison__3,Safety,literature_comparison,3,259,0.14286863803863525,0.15287363529205322,5.5,7.5,4.5,5.0,3.0,8.0
Safety__literature_comparison__4,Safety,literature_comparison,4,231,0.14621829986572266,0.16608428955078125,6.0,5.5,5.0,5.5,4.0,8.0
Safety__outcome_imagination__0,Safety,outcome_imagination,0,205,0.12915140390396118,0.15027999877929688,6.0,7.0,5.0,5.5,4.0,8.0
Safety__outcome_imagination__1,Safety,outcome_imagination,1,229,0.21076440811157227,0.22658389806747437,5.5,8.0,4.5,5.0,4.0,7.0
Safety__outcome_imagination__2,Safety,outcome_imagination,2,219,0.12002182006835938,0.13560563325881958,5.5,6.5,4.5,5.0,3.0,8.0
Safety__outcome_imagination__3,Safety,outcome_imagination,3,217,0.13010460138320923,0.14118564128875732,6.0,7.0,5.0,5.5,4.0,8.0
Safety__outcome_imagination__4,Safety,outcome_imagination,4,215,0.13398325443267822,0.15099680423736572,6.0,4.0,5.0,5.0,4.0,8.0
Safety__proposal_writing__0,Safety,proposal_writing,0,234,0.15840375423431396,0.1662501096725464,5.0,7.5,5.0,5.0,3.0,7.0
Safety__proposal_writing__1,Safety,proposal_writing,1,212,0.12018465995788574,0.1304895281791687,5.0,7.5,5.0,5.0,3.0,7.0
Safety__proposal_writing__2,Safety,proposal_writing,2,210,0.1670398712158203,0.17253434658050537,5.0,8.0,5.0,5.0,3.0,7.0
Safety__proposal_writing__3,Safety,proposal_writing,3,225,0.14927703142166138,0.15851986408233643,6.0,7.0,4.5,5.0,4.0,8.0
Safety__proposal_writing__4,Safety,proposal_writing,4,196,0.18203437328338623,0.19569778442382812,5.5,8.0,4.5,5.0,4.0,7.0
Safety__small_experiment__0,Safety,small_experiment,0,180,0.13341307640075684,0.1718185544013977,5.0,8.5,4.0,4.5,3.0,7.0
Safety__small_experiment__1,Safety,small_experiment,1,189,0.13848161697387695,0.14781033992767334,6.0,7.0,5.0,5.0,4.0,8.0
Safety__small_experiment__2,Safety,small_experiment,2,202,0.15064173936843872,0.15846318006515503,5.0,8.5,4.0,4.5,3.0,7.0
Safety__small_experiment__3,Safety,small_experiment,3,202,0.13915669918060303,0.14733994007110596,5.0,8.0,5.0,5.0,3.0,7.0
